ds,y
4/11/2021,2390
4/10/2021,5626
4/9/2021,7626
4/8/2021,7760
4/7/2021,7824
4/6/2021,6813
4/5/2021,3103
4/4/2021,1449
4/3/2021,3403
4/2/2021,6836
4/1/2021,6976
3/31/2021,8290
3/30/2021,8468
3/29/2021,2962
3/28/2021,1980
3/27/2021,5196
3/26/2021,6294
3/25/2021,6365
3/24/2021,7706
3/23/2021,7652
3/22/2021,2687
3/21/2021,1579
3/20/2021,4380
3/19/2021,5406
3/18/2021,5736
3/17/2021,6431
3/16/2021,6786
3/15/2021,2714
3/14/2021,1040
3/13/2021,3953
3/12/2021,4994
3/11/2021,5332
3/10/2021,5326
3/9/2021,5928
3/8/2021,1982
3/7/2021,1451
3/6/2021,3452
3/5/2021,4069
3/4/2021,4883
3/3/2021,4869
3/2/2021,6189
3/1/2021,2826
2/28/2021,1242
2/27/2021,3107
2/26/2021,4583
2/25/2021,4830
2/24/2021,4977
2/23/2021,5404
2/22/2021,2539
2/21/2021,1599
2/20/2021,2781
2/19/2021,4028
2/18/2021,4134
2/17/2021,4965
2/16/2021,4205
2/15/2021,1901
2/14/2021,1211
2/13/2021,2771
2/12/2021,3569
2/11/2021,3804
2/10/2021,4353
2/9/2021,4069
2/8/2021,1505
2/7/2021,1013
2/6/2021,2332
2/5/2021,3260
2/4/2021,3396
2/3/2021,3737
2/2/2021,4315
2/1/2021,1551
1/31/2021,1164
1/30/2021,2695
1/29/2021,4252
1/28/2021,2368
1/27/2021,4105
1/26/2021,4186
1/25/2021,1884
1/24/2021,1147
1/23/2021,2368
1/22/2021,3722
1/21/2021,4196
1/20/2021,4946
1/19/2021,4732
1/18/2021,2111
1/17/2021,1250
1/16/2021,2160
1/15/2021,4205
1/14/2021,4743
1/13/2021,6595
1/12/2021,5334
1/11/2021,4648
1/10/2021,2317
1/9/2021,4735
1/8/2021,5691
1/7/2021,7148
1/6/2021,5028
1/5/2021,7546
1/4/2021,6982
1/3/2021,2754
1/2/2021,2530
1/1/2021,2618
12/31/2020,6999
12/30/2020,10459
12/29/2020,8872
12/28/2020,7091
12/27/2020,3208
12/26/2020,2966
12/25/2020,2793
12/24/2020,5036
12/23/2020,11376
12/22/2020,6595
12/21/2020,5160
12/20/2020,3752
12/19/2020,5509
12/18/2020,7917
12/17/2020,9640
12/16/2020,8824
12/15/2020,7001
12/14/2020,3534
12/13/2020,3057
12/12/2020,6538
12/11/2020,7717
12/10/2020,6693
12/9/2020,8398
12/8/2020,7446
12/7/2020,3782
12/6/2020,1803
12/5/2020,4864
12/4/2020,7338
12/3/2020,6986
12/2/2020,6547
12/1/2020,5819
11/30/2020,3480
11/29/2020,2753
11/28/2020,3825
11/27/2020,6462
11/26/2020,6903
11/25/2020,6066
11/24/2020,5674
11/23/2020,3877
11/22/2020,2422
11/21/2020,4492
11/20/2020,5458
11/19/2020,7609
11/18/2020,4961
11/17/2020,4458
11/16/2020,2544
11/15/2020,1581
11/14/2020,3513
11/13/2020,6730
11/12/2020,5564
11/11/2020,5709
11/10/2020,4497
11/9/2020,3725
11/8/2020,2097
11/7/2020,4451
11/6/2020,4454
11/5/2020,4744
11/4/2020,4482
11/3/2020,3608
11/2/2020,1569
11/1/2020,1297
10/31/2020,2987
10/30/2020,4056
10/29/2020,3262
10/28/2020,3389
10/27/2020,2414
10/26/2020,1069
10/25/2020,514
10/24/2020,1477
10/23/2020,1867
10/22/2020,1666
10/21/2020,1571
10/20/2020,1289
10/19/2020,771
10/18/2020,321
10/17/2020,697
10/16/2020,1179
10/15/2020,902
10/14/2020,968
10/13/2020,916
10/12/2020,637
10/11/2020,161
10/10/2020,509
10/9/2020,783
10/8/2020,834
10/7/2020,831
10/6/2020,786
10/5/2020,374
10/4/2020,156
10/3/2020,461
10/2/2020,712
10/1/2020,633
9/30/2020,689
9/29/2020,613
9/28/2020,378
9/27/2020,167
9/26/2020,325
9/25/2020,630
9/24/2020,540
9/23/2020,553
9/22/2020,438
9/21/2020,266
9/20/2020,133
9/19/2020,279
9/18/2020,437
9/17/2020,389
9/16/2020,330
9/15/2020,292
9/14/2020,220
9/13/2020,106
9/12/2020,206
9/11/2020,291
9/10/2020,254
9/9/2020,314
9/8/2020,236
9/7/2020,185
9/6/2020,67
9/5/2020,171
9/4/2020,262
9/3/2020,286
