date,cases,deaths
6/6/2021,222,3
5/6/2021,758,3
4/6/2021,989,14
3/6/2021,1080,6
2/6/2021,1364,6
1/6/2021,2783,1
31/05/2021,1898,6
30/05/2021,1948,8
29/05/2021,285,3
28/05/2021,297,8
27/05/2021,92,7
26/05/2021,1418,9
25/05/2021,2739,8
24/05/2021,1195,4
23/05/2021,620,11
22/05/2021,1909,10
21/05/2021,2317,12
20/05/2021,3166,12
19/05/2021,3410,7
18/05/2021,4642,9
17/05/2021,2106,9
16/05/2021,1408,13
15/05/2021,3969,12
14/05/2021,2579,24
13/05/2021,3918,19
12/5/2021,5269,11
11/5/2021,6311,10
10/5/2021,2460,22
9/5/2021,1657,16
8/5/2021,4476,19
7/5/2021,5244,13
6/5/2021,5716,10
5/5/2021,6482,17
4/5/2021,7035,13
3/5/2021,3068,19
2/5/2021,1718,12
1/5/2021,4753,12
30/04/2021,5424,17
29/04/2021,5931,19
28/04/2021,7144,21
27/04/2021,7267,23
26/04/2021,3069,11
25/04/2021,1756,20
24/04/2021,4568,13
23/04/2021,5501,17
22/04/2021,6248,16
21/04/2021,7706,24
20/04/2021,7538,26
19/04/2021,2713,15
18/04/2021,2514,16
17/04/2021,4983,20
16/04/2021,6440,15
15/04/2021,7665,25
14/04/2021,7093,28
13/04/2021,8870,21
12/4/2021,3471,16
11/4/2021,2390,17
10/4/2021,5626,11
9/4/2021,7626,24
8/4/2021,7760,22
7/4/2021,7824,22
6/4/2021,6813,13
5/4/2021,3103,24
4/4/2021,1449,14
3/4/2021,3403,18
2/4/2021,6836,22
1/4/2021,6976,25
31/03/2021,8290,24
30/03/2021,8468,16
29/03/2021,2962,23
28/03/2021,1980,17
27/03/2021,5196,19
26/03/2021,6294,22
25/03/2021,6365,22
24/03/2021,7706,16
23/03/2021,7652,14
22/03/2021,2687,16
21/03/2021,1579,18
20/03/2021,4380,25
19/03/2021,5406,11
18/03/2021,5736,18
17/03/2021,6431,19
16/03/2021,6786,15
15/03/2021,2714,21
14/03/2021,1040,22
13/03/2021,3953,19
12/3/2021,4994,19
